policy,pairs,impersonation_mean,baseline_impersonation_mean,false_rejection_mean,displacement_median,scale_change_median,saturations_mean
P0,102,0.4006862745098039,0.4006862745098039,0.3562745098039216,0.0,0.0,0.0
P1,102,0.8356862745098038,0.4006862745098039,0.2824509803921569,2.284354914537273,0.0,0.0
P2,102,0.7389215686274511,0.4006862745098039,0.15627450980392157,1.988297406844236,0.0,0.0
P3,102,0.7361764705882353,0.4006862745098039,0.16470588235294117,1.8496200810033674,0.0,0.5490196078431373
