policy,epoch,impersonation
P0,0,0.42196078431372547
P0,1,0.42196078431372547
P0,2,0.42196078431372547
P0,3,0.42196078431372547
P0,4,0.42196078431372547
P0,5,0.42196078431372547
P0,6,0.42196078431372547
P0,7,0.42196078431372547
P0,8,0.42196078431372547
P0,9,0.42196078431372547
P0,10,0.42196078431372547
P0,11,0.42196078431372547
P0,12,0.42196078431372547
P0,13,0.42196078431372547
P0,14,0.42196078431372547
P0,15,0.42196078431372547
P0,16,0.42196078431372547
P0,17,0.42196078431372547
P0,18,0.42196078431372547
P0,19,0.42196078431372547
P1,0,0.5523529411764706
P1,1,0.6507352941176471
P1,2,0.6976470588235294
P1,3,0.7245098039215687
P1,4,0.7355392156862746
P1,5,0.7282843137254902
P1,6,0.759656862745098
P1,7,0.7850490196078431
P1,8,0.8051960784313725
P1,9,0.8146568627450981
P1,10,0.8075
P1,11,0.8237254901960784
P1,12,0.8315686274509804
P1,13,0.8361764705882352
P1,14,0.8369117647058824
P1,15,0.83
P1,16,0.8434313725490196
P1,17,0.8470588235294119
P1,18,0.853578431372549
P1,19,0.8516666666666667
P2,0,0.5388235294117647
P2,1,0.6306862745098039
P2,2,0.6747549019607844
P2,3,0.6980882352941177
P2,4,0.706764705882353
P2,5,0.6976960784313726
P2,6,0.7291666666666666
P2,7,0.7389215686274511
P2,8,0.7498529411764706
P2,9,0.756421568627451
P2,10,0.7484313725490196
P2,11,0.7562745098039215
P2,12,0.7601960784313725
P2,13,0.770343137254902
P2,14,0.7712745098039215
P2,15,0.7675
P2,16,0.7819607843137255
P2,17,0.7823039215686275
P2,18,0.7824509803921569
P2,19,0.7827941176470589
P3,0,0.5710294117647059
P3,1,0.6591666666666667
P3,2,0.7122058823529411
P3,3,0.7581372549019608
P3,4,0.7883333333333333
P3,5,0.8139215686274509
P3,6,0.8313235294117647
P3,7,0.8445588235294117
P3,8,0.8819607843137254
P3,9,0.9188725490196078
P3,10,0.9274019607843137
P3,11,0.9355392156862745
P3,12,0.9392156862745098
P3,13,0.9417156862745097
P3,14,0.9420098039215685
P3,15,0.9422549019607843
P3,16,0.9434803921568627
P3,17,0.9447549019607843
P3,18,0.9446568627450981
P3,19,0.9431372549019608
