policy,epoch,impersonation
P0,0,0.4006862745098039
P0,1,0.4006862745098039
P0,2,0.4006862745098039
P0,3,0.4006862745098039
P0,4,0.4006862745098039
P0,5,0.4006862745098039
P0,6,0.4006862745098039
P0,7,0.4006862745098039
P0,8,0.4006862745098039
P0,9,0.4006862745098039
P0,10,0.4006862745098039
P0,11,0.4006862745098039
P0,12,0.4006862745098039
P0,13,0.4006862745098039
P0,14,0.4006862745098039
P0,15,0.4006862745098039
P0,16,0.4006862745098039
P0,17,0.4006862745098039
P0,18,0.4006862745098039
P0,19,0.4006862745098039
P1,0,0.46284313725490195
P1,1,0.557156862745098
P1,2,0.6205392156862746
P1,3,0.6607843137254903
P1,4,0.6617647058823529
P1,5,0.6610294117647059
P1,6,0.6957843137254902
P1,7,0.7287745098039216
P1,8,0.7624019607843138
P1,9,0.7704901960784314
P1,10,0.7606372549019608
P1,11,0.7695588235294119
P1,12,0.7850490196078431
P1,13,0.7920098039215686
P1,14,0.799607843137255
P1,15,0.8069117647058824
P1,16,0.823921568627451
P1,17,0.8294607843137255
P1,18,0.8337745098039215
P1,19,0.8356862745098038
P2,0,0.4724509803921568
P2,1,0.5662254901960785
P2,2,0.6117647058823529
P2,3,0.6390196078431373
P2,4,0.6458333333333334
P2,5,0.6452450980392157
P2,6,0.6861274509803922
P2,7,0.7034313725490197
P2,8,0.7197549019607844
P2,9,0.7161764705882353
P2,10,0.7090686274509804
P2,11,0.7182352941176471
P2,12,0.7318627450980393
P2,13,0.7372058823529412
P2,14,0.7251470588235295
P2,15,0.7254411764705883
P2,16,0.7374509803921568
P2,17,0.7399509803921568
P2,18,0.7315686274509804
P2,19,0.7389215686274511
P3,0,0.575
P3,1,0.6501960784313725
P3,2,0.7200980392156863
P3,3,0.7599019607843138
P3,4,0.7797549019607842
P3,5,0.7994607843137255
P3,6,0.8176470588235295
P3,7,0.8262745098039216
P3,8,0.8523039215686274
P3,9,0.8484803921568628
P3,10,0.7561274509803921
P3,11,0.7508823529411766
P3,12,0.7173039215686275
P3,13,0.7007843137254902
P3,14,0.7040686274509804
P3,15,0.7237745098039216
P3,16,0.6904901960784313
P3,17,0.6830882352941177
P3,18,0.7059313725490196
P3,19,0.728186274509804
