policy,pairs,impersonation_mean,baseline_impersonation_mean,false_rejection_mean,displacement_median,scale_change_median,saturations_mean
P0,102,0.4006862745098039,0.4006862745098039,0.3562745098039216,0.0,0.0,0.0
P1,102,0.8356862745098038,0.4006862745098039,0.2824509803921569,2.284354914537273,0.0,0.0
P2,102,0.7389215686274511,0.4006862745098039,0.15627450980392157,1.988297406844236,0.0,0.0
P3,102,0.728186274509804,0.4006862745098039,0.1357843137254902,1.6303719902856382,0.7206109250041507,4.176470588235294
