config,representation,features,percentile,scale,anchor,budget,scale_budget,unpoisoned_impersonation,password_only_P3_impersonation,P3_saturations_mean,P0_impersonation,P0_false_rejection,P1_impersonation,P1_false_rejection,P2_impersonation,P2_false_rejection,P3_impersonation,P3_false_rejection
baseline,set_b,9,95,adapted,projected,6.883673491292476,7.544642476716051,0.4006862745098039,0.5111764705882352,0.08823529411764706,0.4006862745098039,0.3562745098039216,0.8356862745098038,0.2824509803921569,0.7389215686274511,0.15627450980392157,0.9175490196078432,0.04882352941176472
raw_features,set_a,31,95,adapted,projected,1.3505853832795822,0.47744981294699385,0.42196078431372547,0.37455882352941167,0.08823529411764706,0.42196078431372547,0.14549019607843136,0.8516666666666667,0.3001960784313726,0.7827941176470589,0.14990196078431373,0.9431372549019608,0.03960784313725491
median_budget,set_b,9,50,adapted,projected,0.7519328322186092,0.38585886296614924,0.4006862745098039,0.5106372549019608,1.4313725490196079,0.4006862745098039,0.3562745098039216,0.8356862745098038,0.2824509803921569,0.7389215686274511,0.15627450980392157,0.9155392156862746,0.04882352941176472
frozen_scale,set_b,9,95,frozen,projected,6.883673491292476,0.0,0.4006862745098039,0.5536764705882353,0.5490196078431373,0.4006862745098039,0.3562745098039216,0.8356862745098038,0.2824509803921569,0.7389215686274511,0.15627450980392157,0.7361764705882353,0.16470588235294117
verified_anchor,set_b,9,95,adapted,verified,6.883673491292476,7.544642476716051,0.4006862745098039,0.5100980392156862,4.176470588235294,0.4006862745098039,0.3562745098039216,0.8356862745098038,0.2824509803921569,0.7389215686274511,0.15627450980392157,0.728186274509804,0.1357843137254902
combined,set_b,9,50,frozen,verified,0.7519328322186092,0.0,0.4006862745098039,0.5432843137254902,11.27450980392157,0.4006862745098039,0.3562745098039216,0.8356862745098038,0.2824509803921569,0.7389215686274511,0.15627450980392157,0.647892156862745,0.08411764705882355
combined_raw,set_a,31,50,frozen,verified,0.6899718198280369,0.0,0.42196078431372547,0.5415196078431372,11.568627450980392,0.42196078431372547,0.14549019607843136,0.8516666666666667,0.3001960784313726,0.7827941176470589,0.14990196078431373,0.6640686274509804,0.05666666666666668
