policy,pairs,impersonation_mean,baseline_impersonation_mean,false_rejection_mean,displacement_median,scale_change_median,saturations_mean
P0,102,0.42196078431372547,0.42196078431372547,0.14549019607843136,0.0,0.0,0.0
P1,102,0.8516666666666667,0.42196078431372547,0.3001960784313726,1.8139699851305346,0.0,0.0
P2,102,0.7827941176470589,0.42196078431372547,0.14990196078431373,1.6515563509465325,0.0,0.0
P3,102,0.6640686274509804,0.42196078431372547,0.05666666666666668,1.2027371627794325,0.0,11.568627450980392
